eval,pop_size,avg_fitness,fitness_variance,mutation_amount,recombination_amount
4080,100,1.3963364982650816E-8,1.1125750945049617E-14,10,10
4100,100,1.3963364982760533E-8,1.1125750945046517E-14,10,10
4120,100,1.3963363817369773E-8,1.1125750977920651E-14,10,10
4140,100,1.3962976999918466E-8,1.1125761874506745E-14,10,10
4160,100,3.6320038827576815E-8,6.047893445864066E-14,10,10
4180,100,3.6320038821674014E-8,6.047893445907384E-14,10,10
4200,100,3.596587525504326E-8,6.049212434708113E-14,10,10
4220,100,2.6016544221682268E-8,5.114704657986242E-14,10,10
4240,100,2.6241473604972003E-8,5.1140283911277934E-14,10,10
4260,100,2.624147363729267E-8,5.114028390956456E-14,10,10
4280,100,2.6241473613997063E-8,5.11402839107998E-14,10,10
4300,100,2.6241477365627767E-8,5.114028371191562E-14,10,10
4320,100,2.6228618484177956E-8,5.114094852525325E-14,10,10
4340,100,2.6228618532337295E-8,5.114094852270119E-14,10,10
4360,100,2.6232407892284372E-8,5.114074917427869E-14,10,10
4380,100,2.623830629691232E-8,5.1140440068079725E-14,10,10
4400,100,3.881243820887374E-9,1.3319181607105309E-15,10,10
4420,100,3.8812438231097365E-9,1.3319181606931138E-15,10,10
4440,100,3.88124382310977E-9,1.3319181606931122E-15,10,10
4460,100,3.88124391528808E-9,1.3319181599703513E-15,10,10
4480,100,3.888357896649935E-9,1.3318674511434106E-15,10,10
4500,100,3.888357861187426E-9,1.3318674514219772E-15,10,10
4520,100,3.8883578398118635E-9,1.3318674515898886E-15,10,10
4540,100,3.887251180824769E-9,1.3318760191063492E-15,10,10
4560,100,3.880130037434881E-9,1.3319267681648702E-15,10,10
4580,100,3.880130037348895E-9,1.331926768165547E-15,10,10
4600,100,4.308193715382741E-12,1.4594899816372152E-21,10,10
4620,100,4.336130065154958E-12,1.4593248840196918E-21,10,10
4640,100,4.3362084637192486E-12,1.4593241974528768E-21,10,10
4660,100,4.336011163824834E-12,1.4593259218320112E-21,10,10
4680,100,4.33170499476485E-12,1.4593620610375123E-21,10,10
4700,100,5.440676402610596E-12,1.5726392589236687E-21,10,10
